frame_id,class_id,instance_id,cx,cy,w,h,score
0,20,1,787.5,564.0,662.47900390625,1006.2216186523438,0.88134765625
1,20,1,752.625,557.25,606.7387084960938,1002.2987670898438,0.8759765625
2,20,1,754.125,549.0,588.0712890625,1028.073486328125,0.86767578125
3,20,1,793.5,597.0,630.908447265625,887.9874877929688,0.8623046875
5,20,1,817.5,534.75,639.5933227539062,992.5582885742188,0.61865234375
6,20,1,809.25,515.25,638.968994140625,969.565673828125,0.87109375
7,20,1,792.0,509.25,627.222412109375,962.0205078125,0.890625
8,20,1,801.0,506.2500305175781,637.7222290039062,954.5338745117188,0.88916015625
9,20,1,789.0,513.75,616.29345703125,973.3604125976562,0.8837890625
10,20,1,789.75,515.25,616.29345703125,973.3604125976562,0.85791015625
11,20,1,799.5,510.7499694824219,623.55810546875,958.269775390625,0.86181640625
12,20,1,791.25,513.0,615.091064453125,973.3604125976562,0.890625
13,20,1,787.5,508.5,616.8955688476562,965.78564453125,0.85986328125
14,20,1,804.0,510.75,646.5009765625,965.78564453125,0.89697265625
