Channels,,,Channel 0,0,mV,,,Channel 1,2,mV,,,Channel 2,3.414213562,mV,,,Channel 3,4.732050808,mV,,,Channel 4,6,mV,,,Channel 5,7.236067977,mV,,,Channel 6,8.449489743,mV,,,Channel 7,9.645751311,mV
Avg,,0,0,0,,,1,1,1,,,2,2,2,,,3,3,3,,,4,4,4,,,5,5,5,,,6,6,6,,,7,7,7,
,,Data,v - Vavg,expo2,,,Data,v - Vavg,expo2,,,Data,v - Vavg,expo2,,,Data,v - Vavg,expo2,,,Data,v - Vavg,expo2,,,Data,v - Vavg,expo2,,,Data,v - Vavg,expo2,,,Data,v - Vavg,expo2,
,,0,0,0,,,1,1,1,,,2,2,2,2,,3,3,3,,,4,4,4,,,5,5,5,,,6,6,6,,,7,7,7,
,,0,0,0,,,1,1,1,,,2,2,2,,,3,3,3,,,4,4,4,,,5,5,5,,,6,6,6,,,7,7,7,
,,0,0,0,,,1,1,1,,,2,2,2,,,3,3,3,,,4,4,4,,,5,5,5,,,6,6,6,,,7,7,7,
,,0,0,0,,,1,1,1,,,2,2,2,,,3,3,3,,,4,4,4,,,5,5,5,,,6,6,6,,,7,7,7,
,,0,0,0,,,1,1,1,,,2,2,2,,,3,3,3,,,4,4,4,,,5,5,5,,,6,6,6,,,7,7,7,
,,0,0,0,,,1,1,1,,,2,2,2,,,3,3,3,,,4,4,4,,,5,5,5,,,6,6,6,,,7,7,7,
,,0,0,0,,,1,1,1,,,2,2,2,,,3,3,3,,,4,4,4,,,5,5,5,,,6,6,6,,,7,7,7,
,,0,0,0,,,1,1,1,,,2,2,2,,,3,3,3,,,4,4,4,,,5,5,5,,,6,6,6,,,7,7,7,
,,0,0,0,,,1,1,1,,,2,2,2,,,3,3,3,,,4,4,4,,,5,5,5,,,6,6,6,,,7,7,7,
,,0,0,0,,,1,1,1,,,2,2,2,,,3,3,3,,,4,4,4,,,5,5,5,,,6,6,6,,,7,7,7,
,,0,0,0,,,1,1,1,,,2,2,2,,,3,3,3,,,4,4,4,,,5,5,5,,,6,6,6,,,7,7,7,
,,0,0,0,,,1,1,1,,,2,2,2,,,3,3,3,,,4,4,4,,,5,5,5,,,6,6,6,,,7,7,7,
,,0,0,0,,,1,1,1,,,2,2,2,,,3,3,3,,,4,4,4,,,5,5,5,,,6,6,6,,,7,7,7,
,,0,0,0,,,1,1,1,,,2,2,2,,,3,3,3,,,4,4,4,,,5,5,5,,,6,6,6,,,7,7,7,
,,0,0,0,,,1,1,1,,,2,2,2,,,3,3,3,,,4,4,4,,,5,5,5,,,6,6,6,,,7,7,7,
,,0,0,0,,,1,1,1,,,2,2,2,,,3,3,3,,,4,4,4,,,5,5,5,,,6,6,6,,,7,7,7,
,,0,0,0,,,1,1,1,,,2,2,2,,,3,3,3,,,4,4,4,,,5,5,5,,,6,6,6,,,7,7,7,
,,0,0,0,,,1,1,1,,,2,2,2,,,3,3,3,,,4,4,4,,,5,5,5,,,6,6,6,,,7,7,7,
,,0,0,0,,,1,1,1,,,2,2,2,,,3,3,3,,,4,4,4,,,5,5,5,,,6,6,6,,,7,7,7,
,,0,0,0,,,1,1,1,,,2,2,2,,,3,3,3,,,4,4,4,,,5,5,5,,,6,6,6,,,7,7,7,
,,0,0,0,,,1,1,1,,,2,2,2,,,3,3,3,,,4,4,4,,,5,5,5,,,6,6,6,,,7,7,7,
,,0,0,0,,,1,1,1,,,2,2,2,,,3,3,3,,,4,4,4,,,5,5,5,,,6,6,6,,,7,7,7,
,,0,0,0,,,1,1,1,,,2,2,2,,,3,3,3,,,4,4,4,,,5,5,5,,,6,6,6,,,7,7,7,
,,0,0,0,,,1,1,1,,,2,2,2,,,3,3,3,,,4,4,4,,,5,5,5,,,6,6,6,,,7,7,7,
,,0,0,0,,,1,1,1,,,2,2,2,,,3,3,3,,,4,4,4,,,5,5,5,,,6,6,6,,,7,7,7,
,,0,0,0,,,1,1,1,,,2,2,2,,,3,3,3,,,4,4,4,,,5,5,5,,,6,6,6,,,7,7,7,
