Channel 0,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7
-39,60,8,-6,2,-100,-12,-16
-13,22,0,-16,-10,-130,2,-16
-5,-4,-4,-16,4,-132,-10,-2
-25,-6,-12,-44,10,-102,-26,-20
-17,-4,6,10,0,-108,0,-8
-5,-2,8,-18,-22,-100,-4,-8
-17,-4,2,6,-20,-90,-6,-16
-7,12,12,-8,-22,-70,10,-16
-17,60,4,-2,-18,-68,-10,-4
11,60,10,12,2,-32,2,-4
-17,-4,0,-8,-16,-4,-6,8
-17,-30,8,8,-26,16,2,18
7,16,0,12,-16,32,0,-4
-17,-8,8,16,0,68,14,-8
15,-8,10,-4,-22,82,-4,88
-5,-14,10,16,-16,112,-22,-16
-17,12,0,26,-26,110,10,8
-21,68,6,16,-24,118,-22,20
-7,16,0,-8,-10,112,-6,-8
-11,0,8,10,12,120,10,4
-13,14,14,10,-22,92,-2,10
-31,80,8,14,0,80,-4,8
-5,16,-12,-14,-42,64,-2,-20
47,40,28,46,10,64,2,24
27,36,20,48,18,84,30,24
37,104,46,54,42,38,10,36
-21,-4,8,12,-20,12,0,-8
-11,-16,-44,-4,-20,-56,-10,-34
-37,-12,8,-10,-16,-80,-34,-2
-17,-16,-12,-14,-18,-104,-6,-8
27,-4,22,-2,-16,-112,-6,-16
-37,6,-2,-18,-28,-120,-24,-10
-17,8,-12,-4,-10,-112,-10,4
-9,-4,10,-8,-8,-110,18,-8
1,-8,12,8,-26,-110,-28,-20
-13,-4,20,14,-26,-98,-12,-10
-17,14,10,38,-6,-74,-2,12
-3,-8,22,22,-54,-36,40,24
59,60,52,38,58,-34,0,-8
-17,10,-2,16,-20,-32,10,-8
-13,-4,-8,4,10,6,-2,-20
-17,-10,-24,-2,-30,14,-18,-16
5,18,-22,-4,-10,20,-22,-8
11,12,2,14,-20,44,-6,12
-33,-8,12,16,8,84,-10,-34
-41,0,30,16,-18,92,-2,-18
11,16,12,-8,4,108,0,-8
-11,18,6,-8,6,120,-6,-6
-17,-2,18,10,0,138,10,-8
-13,8,8,-20,-42,102,-26,-12
47,46,48,44,18,122,4,24
39,26,66,42,22,104,30,20
23,56,60,48,46,102,30,6
-31,-8,-14,-12,-12,56,2,-24
-35,16,12,24,-10,16,-18,-14
-17,-36,2,0,-24,-16,-4,6
-5,-12,8,8,-24,-8,-2,-16
-53,-4,-8,-12,-36,-68,2,-8
-33,8,-14,-6,-26,-70,-14,-16
-29,-16,-8,-2,-28,-94,-2,-34
-37,-32,16,-4,-22,-112,-2,-16
-35,-20,18,-16,-10,-112,-4,-20
-5,-34,-2,8,10,-112,10,-20
-33,-16,2,14,-18,-130,-22,-4
-21,-4,-14,2,6,-112,0,-16
-11,-4,8,16,20,-120,-8,4
-33,-16,28,14,8,-98,-2,16
-23,46,20,-6,-2,-98,-2,-4
-5,-4,2,-8,16,-70,-4,-18
-25,-6,2,-4,2,-36,-2,-14
-25,-8,8,8,-10,8,10,-10
-37,6,8,6,-10,0,0,-14
-23,60,8,12,-30,42,-2,-14
-5,-2,-16,-4,-8,60,10,-16
-15,-2,-18,0,10,60,-20,-32
-17,12,18,-16,-18,92,4,8
-5,-4,4,-8,-10,96,2,-22
-17,8,2,-34,-16,124,10,-8
47,84,102,80,74,176,50,40
-13,-16,8,-8,-20,92,12,-20
-33,-8,8,-4,-10,100,8,10
-49,0,24,-20,0,80,-2,-8
-3,62,0,16,20,64,-2,-8
1,28,18,28,-26,32,-2,12
-23,-30,-14,-18,-78,8,-2,-20
47,108,50,66,14,12,46,136
37,28,24,16,2,-18,36,24
29,102,16,32,40,-66,4,4
-15,-26,-32,-4,-22,-82,-6,8
-27,-16,-24,-4,-10,-112,4,2
-23,-26,-18,-20,-22,-106,6,10
-19,-8,-14,-22,-12,-132,-2,4
-23,-12,-8,-16,2,-120,12,2
-21,16,2,-6,-8,-146,-2,18
-21,-6,-6,-16,-20,-132,-10,-20
