Experiment,Channel,SNR (dB),Vrms
2024-04-25_12-48-05 (Very Good),1,1.0790042397650497,13.295633453918807
2024-04-25_12-48-05 (Very Good),2,2.22277801706493,9.491535908867181
2024-04-25_12-48-05 (Very Good),3,8.234715105315704,24.335942195561234
2024-04-25_12-48-05 (Very Good),4,7.875424533709177,25.378539094666408
2024-04-25_12-48-05 (Very Good),5,18.000056820367693,105.33835636611656
2024-04-25_12-48-05 (Very Good),6,1.2161032498725557,13.049205769060448
2024-04-25_12-48-05 (Very Good),7,0.7889089672068296,9.031250682251354
2024-04-25_12-48-05 (Very Good),8,0.7798407540860322,9.581551339430465
,,,
2024-04-25_13-17-49 (Very Good - In cage),1,1.724243753689508,17.582456103439714
2024-04-25_13-17-49 (Very Good - In cage),2,3.323464215454399,11.352716929995069
2024-04-25_13-17-49 (Very Good - In cage),3,7.3424234194599345,23.1416781294056
2024-04-25_13-17-49 (Very Good - In cage),4,8.576718894741743,26.584202531256555
2024-04-25_13-17-49 (Very Good - In cage),5,17.10943166023573,104.16812849168802
2024-04-25_13-17-49 (Very Good - In cage),6,1.2150927912782434,14.005201285271847
2024-04-25_13-17-49 (Very Good - In cage),7,0.7282619565301586,9.241225645649772
2024-04-25_13-17-49 (Very Good - In cage),8,0.8403684667141638,9.904587566777549
,,,
